iter	Logloss
0	0.6849922758
1	0.6784613247
2	0.674366511
3	0.6688243366
4	0.6653242327
5	0.6620406768
6	0.6577598894
7	0.6542496369
8	0.6520270919
9	0.6496649685
10	0.6479311152
11	0.6460179155
12	0.6443844633
13	0.642912189
14	0.6417014751
15	0.6402161078
16	0.6390944412
17	0.6379251455
18	0.6366825339
19	0.6355182865
20	0.6347296557
21	0.6337643464
22	0.6328628677
23	0.6320782931
24	0.6316611349
25	0.6309376812
26	0.6301992866
27	0.629116473
28	0.6284448234
29	0.6276953672
30	0.6271762337
31	0.6266297305
32	0.6259349465
33	0.625007308
34	0.6243924169
35	0.6238266427
36	0.6234457544
37	0.6229373835
38	0.6222770617
39	0.6216878182
40	0.6211820762
41	0.6204945021
42	0.6199286433
43	0.6195689043
44	0.6189917561
45	0.6181492243
46	0.6174813161
47	0.6170401598
48	0.6165684391
49	0.6160616153
50	0.6155575296
51	0.615072038
52	0.6145592858
53	0.6140759143
54	0.6136843293
55	0.6130122203
56	0.612338598
57	0.6118202505
58	0.6113814775
59	0.6108266615
60	0.6104091082
61	0.6096404683
62	0.6093397889
63	0.6090623851
64	0.6087284958
65	0.6081142612
66	0.6077289623
67	0.6072258133
68	0.6065825561
69	0.6060352426
70	0.6057257726
71	0.6050801637
72	0.6045449053
73	0.604038906
74	0.6035771636
75	0.6031821545
76	0.6029142537
77	0.6023787551
78	0.6018153082
79	0.6012516118
80	0.6009174244
81	0.6004452295
82	0.5999618945
83	0.5995601516
84	0.5992134121
85	0.5987726538
86	0.5983865805
87	0.5980074297
88	0.5974818326
89	0.5971446506
90	0.5967293195
91	0.5962541424
92	0.5957706096
93	0.5952947966
94	0.5949054919
95	0.5944300137
96	0.5941214191
97	0.5939605603
98	0.5935323273
99	0.5931859943
100	0.5928727379
101	0.5923716968
102	0.5919229931
103	0.5915505582
104	0.5912595868
105	0.5908986154
106	0.5904374596
107	0.5898238237
108	0.5893457222
109	0.58883404
110	0.5881695329
111	0.5876346644
112	0.5870849944
113	0.5865013573
114	0.5860547021
115	0.5857060199
116	0.5853592801
117	0.5850852467
118	0.5848507012
119	0.5844061909
120	0.5838309139
121	0.5835443802
122	0.583163112
123	0.5827624317
124	0.5823666913
125	0.5819823399
126	0.5814594575
127	0.5811064984
128	0.5808317768
129	0.5805426097
130	0.5800415636
131	0.5795579836
132	0.5792923734
133	0.5789290527
134	0.5785624917
135	0.5780668608
136	0.5774639574
137	0.5772105333
138	0.5768572373
139	0.5764435818
140	0.5760696979
141	0.5756259284
142	0.57507031
143	0.574728814
144	0.5743810677
145	0.5739674353
146	0.5736796736
147	0.5732826976
148	0.5729089057
149	0.5727233589
150	0.5721991576
151	0.5719260109
152	0.5713286469
153	0.5709184346
154	0.5704835833
155	0.5699576778
156	0.5694819209
157	0.5690975386
158	0.568676079
159	0.5683596042
160	0.568064281
161	0.5676959619
162	0.5670496234
163	0.5668099176
164	0.5665079892
165	0.5660137559
166	0.5655913335
167	0.5652033163
168	0.5647860089
169	0.5643468484
170	0.5639298342
171	0.5635865363
172	0.5630984919
173	0.5624963383
174	0.5622369385
175	0.5617276869
176	0.5613116849
177	0.5609683842
178	0.5604498831
179	0.5600300871
180	0.5596551842
181	0.5593200749
182	0.5589948879
183	0.5586420569
184	0.5581556694
185	0.5576514945
186	0.5573592694
187	0.5569422655
188	0.5565859242
189	0.5560667393
190	0.5558129951
191	0.5553809387
192	0.5549624411
193	0.5546544987
194	0.5541425277
195	0.5538362398
196	0.5535863981
197	0.5532441574
198	0.552748435
199	0.5524375919
200	0.5518519975
201	0.5514853171
202	0.5509902093
203	0.5507100344
204	0.5500915411
205	0.5496910565
206	0.5492454294
207	0.5486708738
208	0.5481998581
209	0.5478039015
210	0.5473341838
211	0.5470640242
212	0.5465103175
213	0.5462162198
214	0.5458107714
215	0.5453244395
216	0.5448500752
217	0.5445048137
218	0.5440038145
219	0.5436716663
220	0.5433759562
221	0.543073915
222	0.542604975
223	0.5423410858
224	0.5421021181
225	0.5416984806
226	0.5412953699
227	0.5407306755
228	0.5403179476
229	0.5398426747
230	0.5393008782
231	0.538902691
232	0.5385772582
233	0.5380946173
234	0.5374577749
235	0.5370089924
236	0.5366736084
237	0.5363384111
238	0.53598591
239	0.5356074081
240	0.535245309
241	0.534880097
242	0.5343985922
243	0.533961891
244	0.533381534
245	0.5329199039
246	0.5325444186
247	0.5321620352
248	0.5318021277
249	0.5313267043
250	0.5309208158
251	0.5303664456
252	0.5298499308
253	0.5294028963
254	0.5288377125
255	0.5285125592
256	0.5282686535
257	0.5280535143
258	0.5276921649
259	0.5272990874
260	0.5268606193
261	0.5264253867
262	0.5261555602
263	0.5257206238
264	0.5253493922
265	0.524832553
266	0.5244869333
267	0.524085672
268	0.5238109927
269	0.523343218
270	0.5229158018
271	0.5224250399
272	0.5220406897
273	0.5216199216
274	0.5212216448
275	0.5209161377
276	0.5205420127
277	0.5200661697
278	0.5194937888
279	0.5191465131
280	0.518616566
281	0.5182266999
282	0.5177877817
283	0.5174667772
284	0.5170591463
285	0.5165585247
286	0.5163000855
287	0.5160049282
288	0.5155905245
289	0.5151997654
290	0.5147258622
291	0.5143846717
292	0.5140198669
293	0.5137610899
294	0.5134197322
295	0.5130767825
296	0.5126118712
297	0.5122451264
298	0.5119955269
299	0.5115995667
300	0.5110708763
