iter	Passed	Remaining
0	2	1204
1	4	1199
2	6	1125
3	8	1085
4	10	1068
5	12	1063
6	15	1059
7	16	1040
8	18	1032
9	20	1023
10	22	1009
11	24	1002
12	26	996
13	28	987
14	30	982
15	32	976
16	34	968
17	36	964
18	37	957
19	39	955
20	41	954
21	43	952
22	45	948
23	47	947
24	49	934
25	51	933
26	53	929
27	54	924
28	56	922
29	58	917
30	60	916
31	62	912
32	64	910
33	66	907
34	68	904
35	70	902
36	72	901
37	73	897
38	75	893
39	77	891
40	79	889
41	81	885
42	83	882
43	84	880
44	86	877
45	88	875
46	90	873
47	92	872
48	94	870
49	96	867
50	98	867
51	100	864
52	102	863
53	104	861
54	106	859
55	108	858
56	110	856
57	112	853
58	114	852
59	115	850
60	117	847
61	119	845
62	121	844
63	123	842
64	125	839
65	127	837
66	129	834
67	131	832
68	132	830
69	134	828
70	136	827
71	138	824
72	140	823
73	142	821
74	144	820
75	146	818
76	148	815
77	150	814
78	152	812
79	154	810
80	156	808
81	158	806
82	160	804
83	161	801
84	163	799
85	165	797
86	167	795
87	169	793
88	171	791
89	173	789
90	175	787
91	177	785
92	178	783
93	180	781
94	182	778
95	184	776
96	186	774
97	188	772
98	190	770
99	192	769
100	194	767
101	196	765
102	198	763
103	199	760
104	201	759
105	203	757
106	205	755
107	207	752
108	209	751
109	211	748
110	213	746
111	215	745
112	217	743
113	219	741
114	220	739
115	222	737
116	225	738
117	227	736
118	229	734
119	231	732
120	233	730
121	235	728
122	236	726
123	238	724
124	240	722
125	242	719
126	244	718
127	246	716
128	248	714
129	250	711
130	252	709
131	253	707
132	255	705
133	257	703
134	259	701
135	261	699
136	263	697
137	265	695
138	267	693
139	268	691
140	270	689
141	272	687
142	274	685
143	276	683
144	278	681
145	280	679
146	282	677
147	283	675
148	285	673
149	287	671
150	289	669
151	291	667
152	293	665
153	295	663
154	297	662
155	299	660
156	301	658
157	303	656
158	305	654
159	307	652
160	308	650
161	310	648
162	312	646
163	314	644
164	316	642
165	318	640
166	320	638
167	322	636
168	324	634
169	326	632
170	327	630
171	329	628
172	331	626
173	333	625
174	335	623
175	337	621
176	339	619
177	341	617
178	342	615
179	344	613
180	346	611
181	348	609
182	350	607
183	352	605
184	354	603
185	356	601
186	358	599
187	359	597
188	361	595
189	363	593
190	365	591
191	367	589
192	369	588
193	371	585
194	373	584
195	375	582
196	377	580
197	379	578
198	381	576
199	383	574
200	384	572
201	386	570
202	388	568
203	390	566
204	392	564
205	394	563
206	396	561
207	398	559
208	400	557
209	402	555
210	404	553
211	406	551
212	408	549
213	410	548
214	412	546
215	414	544
216	415	542
217	417	540
218	419	538
219	421	536
220	423	534
221	425	533
222	427	531
223	429	529
224	431	527
225	433	525
226	434	523
227	437	521
228	438	519
229	440	517
230	443	516
231	445	514
232	447	512
233	449	510
234	451	508
235	452	506
236	454	504
237	456	503
238	459	501
239	460	499
240	462	497
241	464	495
242	466	493
243	468	491
244	470	489
245	472	487
246	474	485
247	475	483
248	477	481
249	479	479
250	481	477
251	483	476
252	485	474
253	487	472
254	489	470
255	491	468
256	493	466
257	495	464
258	497	462
259	499	460
260	501	458
261	502	456
262	504	454
263	506	453
264	509	451
265	511	449
266	513	447
267	514	445
268	516	443
269	518	441
270	520	439
271	522	438
272	524	436
273	526	434
274	528	432
275	530	430
276	532	428
277	533	426
278	535	424
279	537	422
280	539	420
281	541	418
282	543	416
283	545	414
284	547	412
285	549	410
286	551	409
287	552	407
288	554	405
289	556	403
290	558	401
291	560	399
292	562	397
293	564	395
294	566	393
295	568	391
296	569	389
297	571	387
298	573	385
299	575	383
300	577	381
301	579	379
302	581	377
303	583	375
304	585	374
305	587	372
306	588	370
307	590	368
308	592	366
309	594	364
310	596	362
311	598	360
312	600	358
313	602	356
314	604	354
315	606	353
316	608	351
317	610	349
318	612	347
319	613	345
320	615	343
321	617	341
322	619	339
323	621	337
324	623	335
325	625	333
326	627	331
327	629	329
328	630	327
329	632	326
330	634	324
331	636	322
332	638	320
333	640	318
334	642	316
335	644	314
336	646	312
337	648	310
338	650	308
339	652	306
340	654	304
341	655	303
342	657	301
343	659	299
344	661	297
345	663	295
346	665	293
347	667	291
348	669	289
349	671	287
350	673	285
351	675	283
352	677	282
353	679	280
354	681	278
355	682	276
356	684	274
357	686	272
358	688	270
359	690	268
360	692	266
361	694	264
362	696	262
363	697	260
364	699	258
365	701	256
366	703	254
367	705	253
368	707	251
369	709	249
370	711	247
371	712	245
372	714	243
373	716	241
374	718	239
375	720	237
376	722	235
377	724	233
378	726	231
379	728	230
380	730	228
381	732	226
382	734	224
383	735	222
384	737	220
385	739	218
386	741	216
387	743	214
388	745	212
389	747	210
390	749	208
391	751	206
392	752	205
393	755	203
394	757	201
395	758	199
396	760	197
397	762	195
398	764	193
399	766	191
400	768	189
401	770	187
402	772	185
403	774	183
404	776	182
405	778	180
406	780	178
407	782	176
408	784	174
409	786	172
410	788	170
411	790	168
412	792	166
413	794	164
414	796	163
415	798	161
416	800	159
417	802	157
418	803	155
419	805	153
420	807	151
421	809	149
422	811	147
423	813	145
424	815	143
425	817	141
426	819	140
427	821	138
428	823	136
429	825	134
430	827	132
431	829	130
432	831	128
433	833	126
434	835	124
435	837	122
436	838	120
437	841	119
438	842	117
439	844	115
440	846	113
441	848	111
442	850	109
443	852	107
444	854	105
445	856	103
446	858	101
447	860	99
448	862	97
449	864	96
450	866	94
451	868	92
452	870	90
453	871	88
454	873	86
455	876	84
456	877	82
457	879	80
458	881	78
459	883	76
460	885	74
461	887	72
462	889	71
463	891	69
464	893	67
465	895	65
466	897	63
467	899	61
468	901	59
469	903	57
470	905	55
471	907	53
472	909	51
473	911	49
474	913	48
475	915	46
476	917	44
477	919	42
478	921	40
479	923	38
480	925	36
481	927	34
482	929	32
483	930	30
484	932	28
485	934	26
486	936	24
487	938	23
488	940	21
489	942	19
490	944	17
491	946	15
492	948	13
493	950	11
494	952	9
495	954	7
496	956	5
497	958	3
498	959	1
499	961	0
